influencedBy,economist
John_Dewey,Edward_C._Harwood
Arthur_F._Bentley,Edward_C._Harwood
Ralph_George_Hawtrey,Edward_C._Harwood
Gary_Becker,Edward_Glaeser
Jane_Jacobs,Edward_Glaeser
"Robert_Lucas,_Jr.",Edward_Glaeser
Friedrich_Hayek,Edward_Stringham
Murray_Rothbard,Edward_Stringham
Ludwig_von_Mises,Edward_Stringham
Walter_Block,Edward_Stringham
John_Lintner,Edwin_Kuh
Guy_Orcutt,Edwin_Kuh
James_Duesenberry,Edwin_Kuh
Joan_Robinson,Eprime_Eshag
Micha?_Kalecki,Eprime_Eshag
John_Maynard_Keynes,Eprime_Eshag
Jacob_Marschak,Franco_Modigliani
John_Maynard_Keynes,Franco_Modigliani
Max_Weber,Frank_Knight
Herbert_J._Davenport,Frank_Knight
David_Ricardo,Franz_Oppenheimer
Ludwig_Gumplowicz,Franz_Oppenheimer
Henry_George,Franz_Oppenheimer
Émile_Durkheim,François_Simiand
Henri_Bergson,François_Simiand
Alfred_S._Eichner,Frederic_Sterling_Lee
Karl_Marx,Frederic_Sterling_Lee
Gardiner_C._Means,Frederic_Sterling_Lee
John_Maynard_Keynes,Frederic_Sterling_Lee
Böhm-Bawerk,Friedrich_Hayek
C._Menger,Friedrich_Hayek
Dean_Tucker,Friedrich_Hayek
Voltaire,Friedrich_Hayek
J._S._Mill,Friedrich_Hayek
C._Schmitt,Friedrich_Hayek
Edward_Gibbon,Friedrich_Hayek
Frank_Fetter,Friedrich_Hayek
Friedrich_von_Wieser,Friedrich_Hayek
Tocqueville,Friedrich_Hayek
Adam_Ferguson,Friedrich_Hayek
Adam_Smith,Friedrich_Hayek
Algernon_Sidney,Friedrich_Hayek
Jean-Jacques_Rousseau,Friedrich_Hayek
John_Maynard_Keynes,Friedrich_Hayek
Karl_Marx,Friedrich_Hayek
D._Hume,Friedrich_Hayek
H._Belloc,Friedrich_Hayek
Wittgenstein,Friedrich_Hayek
B._Mandeville,Friedrich_Hayek
John_Locke,Friedrich_Hayek
E._Burke,Friedrich_Hayek
E._Mach,Friedrich_Hayek
O._Spann,Friedrich_Hayek
Lord_Acton,Friedrich_Hayek
W._Eucken,Friedrich_Hayek
K._Popper,Friedrich_Hayek
K._Wicksell,Friedrich_Hayek
Friedrich_Hayek,Fritz_Machlup
Friedrich_von_Wieser,Fritz_Machlup
Ludwig_von_Mises,Fritz_Machlup
Christopher_A._Sims,Fumio_Hayashi
Edward_C._Prescott,Fumio_Hayashi
Martin_Feldstein,Fumio_Hayashi
Theodore_Schultz,Gary_Becker
Carl_Menger,George_Reisman
David_Ricardo,George_Reisman
John_Stuart_Mill,George_Reisman
Frédéric_Bastiat,George_Reisman
Ludwig_von_Mises,George_Reisman
Ayn_Rand,George_Reisman
Adam_Smith,George_Reisman
Eugen_von_Böhm-Bawerk,George_Reisman
James_Mill,George_Reisman
David_Laidler,George_Selgin
Lawrence_H._White,George_Selgin
Leland_Yeager,George_Selgin
Knut_Wicksell,George_Selgin
Milton_Friedman,George_Selgin
Jacob_Viner,George_Stigler
Milton_Friedman,George_Stigler
Thomas_Kuhn,Giovanni_Dosi
Keith_Pavitt,Giovanni_Dosi
Herbert_A._Simon,Giovanni_Dosi
Richard_R._Nelson,Giovanni_Dosi
Sidney_Winter,Giovanni_Dosi
Ludwig_von_Mises,Gordon_Tullock
Rudolf_Jung,Gottfried_Feder
Ludwig_Feuerbach,Gottfried_Feder
Wilhelm_Marr,Gottfried_Feder
Thorstein_Veblen,Morris_Copeland
John_Maurice_Clark,Morris_Copeland
Wesley_Clair_Mitchell,Morris_Copeland
Walter_W._Stewart,Morris_Copeland
Sam_Francis_(writer),Murray_Rothbard
Eugen_Böhm-Bawerk,Murray_Rothbard
Frédéric_Bastiat,Murray_Rothbard
Benjamin_Tucker,Murray_Rothbard
Richard_Cantillon,Murray_Rothbard
Frank_Chodorov,Murray_Rothbard
Garet_Garrett,Murray_Rothbard
Aquinas,Murray_Rothbard
Lysander_Spooner,Murray_Rothbard
Étienne_Bonnot_de_Condillac,Murray_Rothbard
Grotius,Murray_Rothbard
H._L._Mencken,Murray_Rothbard
Isabel_Paterson,Murray_Rothbard
Aristotle,Murray_Rothbard
Herbert_Spencer,Murray_Rothbard
John_Locke,Murray_Rothbard
Gaetanus,Murray_Rothbard
Anne_Turgot,Murray_Rothbard
A._J._Nock,Murray_Rothbard
De_Vitoria,Murray_Rothbard
George_Stigler,Myron_Scholes
Milton_Friedman,Myron_Scholes
Carl_Menger,Thomas_Hazlett
Friedrich_Hayek,Thomas_Hazlett
Adam_Smith,Thomas_Hodgskin
John_Locke,Thomas_Hodgskin
Christopher_A._Sims,Thomas_J._Sargent
Neil_Wallace,Thomas_J._Sargent
"Robert_E._Lucas,_Jr.",Thomas_J._Sargent
John_F._Muth,Thomas_J._Sargent
Simon_Kuznets,Thomas_Piketty
Adam_Smith,Thomas_Piketty
John_Maynard_Keynes,Thomas_Piketty
Anthony_Atkinson,Thomas_Piketty
David_Hume,Thomas_Robert_Malthus
David_Ricardo,Thomas_Robert_Malthus
Voltaire,Thomas_Robert_Malthus
Edward_Gibbon,Thomas_Robert_Malthus
William_Godwin,Thomas_Robert_Malthus
Adam_Smith,Thomas_Robert_Malthus
Jean-Jaques_Rousseau,Thomas_Robert_Malthus
Edward_Bellamy,Thorstein_Veblen
Georges_Vacher_de_Lapouge,Thorstein_Veblen
Thomas_Paine,Thorstein_Veblen
Lester_Frank_Ward,Thorstein_Veblen
William_Graham_Sumner,Thorstein_Veblen
William_James,Thorstein_Veblen
Henri_de_Saint-Simon,Thorstein_Veblen
Herbert_Spencer,Thorstein_Veblen
Charles_Fourier,Thorstein_Veblen
John_Dewey,Thorstein_Veblen
Max_Weber,Ludwig_von_Mises
Edmund_Husserl,Ludwig_von_Mises
Eugen_Böhm_von_Bawerk,Ludwig_von_Mises
Jean-Baptiste_Say,Ludwig_von_Mises
Immanuel_Kant,Ludwig_von_Mises
Walter_Eucken,Andreas_Freytag
