economist,influencedBy
Geoffrey_Hodgson,Thorstein_Veblen
Osamu_Shimomura,John_Maynard_Keynes
Christopher_A._Pissarides,Dale_Mortensen
Christopher_Coyne,Peter_Boettke
Christopher_Coyne,Tyler_Cowen
Christopher_Freeman,Joseph_Schumpeter
Christopher_Freeman,Karl_Marx
Christopher_Freeman,John_Desmond_Bernal
Clarence_Edwin_Ayres,Thorstein_Veblen
Clarence_Edwin_Ayres,John_Dewey
Claude_Hillinger,Robert_Basmann
Clive_Granger,Alok_Bhargava
Clive_Granger,Norbert_Wiener
Clive_Granger,David_Hendry
Clive_Granger,John_Denis_Sargan
Alexandre_Mas,Andreu_Mas-Colell
Edward_Atkinson,Richard_Cobden
Edward_Atkinson,Frédéric_Bastiat
Edward_Atkinson,Adam_Smith
Edward_Atkinson,John_Bright
Edward_C._Harwood,Gottfried_Haberler
Edward_C._Harwood,William_Harold_Hutt
Edward_C._Harwood,William_James
Edward_C._Harwood,Henry_George
Edward_C._Harwood,Henry_Hazlitt
Edward_C._Harwood,Charles_Sanders_Peirce
Edward_C._Harwood,John_Dewey
Edward_C._Harwood,Arthur_F._Bentley
Edward_C._Harwood,Ralph_George_Hawtrey
Edward_Glaeser,Gary_Becker
Edward_Glaeser,Jane_Jacobs
Edward_Glaeser,"Robert_Lucas,_Jr."
Edward_Stringham,David_D._Friedman
Edward_Stringham,Friedrich_Hayek
Edward_Stringham,Murray_Rothbard
Edward_Stringham,Ludwig_von_Mises
Edward_Stringham,Walter_Block
Edwin_Kuh,John_Lintner
Edwin_Kuh,Guy_Orcutt
Edwin_Kuh,James_Duesenberry
Edwin_W._Kemmerer,Jeremiah_Jenks
Elhanan_Helpman,Menahem_Yaari
Elhanan_Helpman,Eitan_Berglas
Elizabeth_Baker,Frederick_Winslow_Taylor
Emmanuel_Saez,Anthony_Barnes_Atkinson
Eprime_Eshag,Joan_Robinson
Eprime_Eshag,Micha?_Kalecki
Eprime_Eshag,John_Maynard_Keynes
Franco_Modigliani,Jacob_Marschak
Franco_Modigliani,John_Maynard_Keynes
Frank_Fetter,Carl_Menger
Frank_Knight,Max_Weber
Frank_Knight,Clarence_Edwin_Ayres
