influencedBy,economist
Thomas_Schelling,Robert_Jervis
Thomas_Schelling,Steven_Pinker
Thomas_Schelling,Mark_Kleiman
Thorstein_Veblen,Geoffrey_Hodgson
Thorstein_Veblen,Clarence_Edwin_Ayres
Thorstein_Veblen,Lewis_Mumford
Thorstein_Veblen,John_Maurice_Clark
Thorstein_Veblen,Robert_A._Brady
Thorstein_Veblen,C._Wright_Mills
Thorstein_Veblen,Wesley_Clair_Mitchell
Thorstein_Veblen,Jonathan_Nitzan
Thorstein_Veblen,Edith_Penrose
Thorstein_Veblen,Harold_Innis
Thorstein_Veblen,Henry_A._Wallace
Thorstein_Veblen,John_Kenneth_Galbraith
Thorstein_Veblen,Shimshon_Bichler
David_Laibson,Xavier_Gabaix
John_R._Commons,Gunnar_Myrdal
John_R._Commons,Herbert_A._Simon
John_R._Commons,Edwin_E._Witte
John_R._Commons,Oliver_E._Williamson
Ludwig_von_Mises,Friedrich_Hayek
Ludwig_von_Mises,Murray_Rothbard
Ludwig_von_Mises,Walter_Block
Ludwig_von_Mises,Alfred_Schütz
Ludwig_von_Mises,Hans-Hermann_Hoppe
Ludwig_von_Mises,Henry_Hazlitt
Ludwig_von_Mises,Joseph_Salerno
Ludwig_von_Mises,Jesus_Huerta_de_Soto
Merton_Miller,Richard_Roll
Merton_Miller,Myron_Scholes
Merton_Miller,Michael_C._Jensen
Andrei_Shleifer,Jesse_Shapiro
Andrei_Shleifer,Rafael_La_Porta
Anis_Ahmad,Interfaith_dialogue
Anthony_Downs,Duncan_Black
Lionel_Robbins,Charles_Goodhart
Lionel_Robbins,John_Hicks
Lloyd_Best,Kari_Polanyi_Levitt
Lloyd_Best,Norman_Girvan
Lloyd_Best,George_Beckford
Ludwig_Lachmann,Bruce_Caldwell
Ludwig_Lachmann,Don_Lavoie
Ludwig_Lachmann,Peter_Lewin
Luigi_Amoroso,Joan_Robinson
Léon_Walras,Joseph_Schumpeter
Léon_Walras,Vilfredo_Pareto
Léon_Walras,Maurice_Allais
Léon_Walras,Leonid_Hurwicz
Léon_Walras,Axel_Leijonhufvud
Léon_Walras,Alfred_Marshall
Léon_Walras,Oskar_R._Lange
Léon_Walras,Gustav_Cassel
Léon_Walras,Gérard_Debreu
Léon_Walras,Henry_Ludwell_Moore
Léon_Walras,Kenneth_Arrow
Léon_Walras,Knut_Wicksell
Silvio_Gesell,Bernard_Lietaer
Silvio_Gesell,Gottfried_Feder
Silvio_Gesell,John_Maynard_Keynes
Silvio_Gesell,C._H._Douglas
Stanley_Reiter,Thomas_Muench
Stephen_Resnick,Jack_Amariglio
Steven_Levitt,Roland_G._Fryer_Jr.
Steven_Levitt,Jesse_Shapiro
Zvi_Griliches,G._S._Maddala
Zvi_Griliches,Robert_Lucas_Jr.
Maurice_Dobb,David_Laibman
Maurice_Dobb,Amartya_Sen
Maurice_Dobb,Duncan_K._Foley
Maurice_Dobb,Harry_Gordon_Johnson
Maurice_Dobb,Yanis_Varoufakis
Maurice_Dobb,Eric_Hobsbawn
Avinash_Dixit,Paul_Krugman
Axel_Leijonhufvud,Roger_Farmer
Axel_Leijonhufvud,Yanis_Varoufakis
Bakul_Harshadrai_Dholakia,Harsha_Bhogle
Bakul_Harshadrai_Dholakia,Raghuram_Rajan
Bakul_Harshadrai_Dholakia,Nachiket_Mor
Bruce_L._Benson,Peter_Leeson
Bruce_L._Benson,Edward_Stringham
C._H._Douglas,Alfred_Richard_Orage
C._H._Douglas,Ezra_Pound
C._H._Douglas,John_Maynard_Keynes
Celso_Furtado,Maria_da_Conceição_Tavares
Celso_Furtado,Luiz_Gonzaga_de_Mello_Belluzzo
Tony_Atkinson,Emmanuel_Saez
Tony_Atkinson,Thomas_Piketty
Tord_Palander,Tõnu_Puu
Trygve_Haavelmo,Judea_Pearl
Trygve_Haavelmo,Søren_Johansen
Trygve_Haavelmo,David_F._Hendry
Wesley_Clair_Mitchell,Clark_Warburton
William_A._Barnett,Apostolos_Serletis
William_Baumol,Ha-Joon_Chang
William_Baumol,James_Tobin
William_Baumol,Jean_Tirole
William_Phillips,Robert_Solow
William_Phillips,Paul_Samuelson
William_Phillips,Edmund_Phelps
William_Vickrey,Harvey_J._Levin
Hazel_Kyrk,Margaret_G._Reid
Aaron_Director,Ronald_Coase
Aaron_Director,Richard_Posner
Aaron_Director,Antonin_Scalia
Aaron_Director,William_Rehnquist
Aaron_Director,Harold_Demsetz
Aaron_Director,Milton_Friedman
Adam_Müller,Othmar_Spann
Akihiko_Matsui,Fuhito_Kojima
Alan_Walters,Margaret_Thatcher
Albert_O._Hirschman,Stephen_D._Krasner
Alfred_Eichner,Frederic_Sterling_Lee
Alfred_H._Conrad,Robert_Fogel
Alfred_Marshall,Gary_Becker
Alfred_Marshall,Arthur_Cecil_Pigou
Alfred_Marshall,John_Maynard_Keynes
Alvin_Hansen,Robert_Solow
Alvin_Hansen,Paul_Samuelson
Alvin_Hansen,James_Tobin
Alvin_Hansen,John_Hicks
Amartya_Sen,Ben_Fine
Amartya_Sen,Prasanta_Pattanaik
Amartya_Sen,Robin_Hahnel
Amartya_Sen,Nancy_Folbre
Amartya_Sen,Mahbub_ul_Haq
Amartya_Sen,Tony_Atkinson
Amartya_Sen,Esther_Duflo
Amartya_Sen,Ha-Joon_Chang
Amartya_Sen,Jean_Drèze
Amartya_Sen,Kaushik_Basu
Amartya_Sen,Marc_Fleurbaey
Amartya_Sen,Martha_Nussbaum
Amartya_Sen,Philip_Pettit
Amartya_Sen,Kotaro_Suzumura
Dale_T._Mortensen,Christopher_A._Pissarides
Duncan_Black,Gordon_Tullock
E._Philip_Howrey,John_B._Taylor
Edmond_Malinvaud,Yves_Balasko
Edmond_Malinvaud,Jacques_Drèze
Edmund_Phelps,Mordecai_Kurz
Edmund_Phelps,Gylfi_Zoega
Edmund_Phelps,Roman_Frydman
Edmund_Phelps,Hian_Teck_Hoon
Edmund_Phelps,Eric_Bartelsman
Erik_Lindahl,Roy_Radner
Erik_Lindahl,Duncan_K._Foley
Erik_Lindahl,John_Hicks
