influencedBy,economist
Rosa_Luxemburg,Richard_D._Wolff
Vladimir_Lenin,Richard_D._Wolff
Friedrich_Engels,Richard_D._Wolff
Antonio_Gramsci,Richard_D._Wolff
Louis_Althusser,Richard_D._Wolff
Étienne_Balibar,Richard_D._Wolff
Eduard_Bernstein,Richard_D._Wolff
Karl_Marx,Richard_D._Wolff
George_Lukács,Richard_D._Wolff
John_Maynard_Keynes,Richard_Kahn
Friedrich_von_Wieser,Richard_Ritter_von_Strigl
Ludwig_von_Mises,Richard_Ritter_von_Strigl
Joseph_Schumpeter,Richard_Ritter_von_Strigl
Eugen_von_Böhm-Bawerk,Richard_Ritter_von_Strigl
Léon_Walras,Richard_Ritter_von_Strigl
Milton_Friedman,Richard_Timberlake
Karl_Marx,Rick_Kuhn
John_Maynard_Keynes,Robert_Eisner
Ronald_Coase,Robert_Higgs
Joseph_Schumpeter,Robert_Higgs
Murray_Rothbard,Robert_Higgs
Ludwig_von_Mises,Robert_Higgs
Friedrich_Hayek,Robert_Higgs
Irving_Fisher,Robert_J._Shiller
John_Maynard_Keynes,Robert_J._Shiller
Thorstein_Veblen,Ugo_Pagano
Léon_Walras,Ugo_Pagano
Karl_Marx,Ugo_Pagano
John_Maynard_Keynes,Vera_Anstey
Hyman_Minsky,Victoria_Chick
John_Maynard_Keynes,Victoria_Chick
G._Mosca,Vilfredo_Pareto
Machiavelli,Vilfredo_Pareto
Adam_Smith,Vilfredo_Pareto
Gustave_de_Molinari,Vilfredo_Pareto
David_Hume,Vilfredo_Pareto
Herbert_Spencer,Vilfredo_Pareto
Maffeo_Pantaleoni,Vilfredo_Pareto
J._de_Maistre,Vilfredo_Pareto
Edmund_Burke,Vilfredo_Pareto
G._Sorel,Vilfredo_Pareto
Auguste_Comte,Vilfredo_Pareto
Amartya_Sen,Inge_Kaul
James_Tobin,Inge_Kaul
John_Maynard_Keynes,Inge_Kaul
Amartya_Sen,Ingrid_Robeyns
John_Maynard_Keynes,Costas_Lapavitsas
Karl_Marx,Costas_Lapavitsas
Henry_George,Mason_Gaffney
Eugen_von_Böhm-Bawerk,Max_Hirsch
Henry_George,Max_Hirsch
Friedrich_Hayek,Russ_Roberts
Gary_Becker,Russ_Roberts
Adam_Smith,Russ_Roberts
Milton_Friedman,Russ_Roberts
Amartya_Sen,Sabina_Alkire
Karl_Marx,Said_Gafurov
John_Maynard_Keynes,Said_Gafurov
John_Maynard_Keynes,Osamu_Shimomura
Karl_Marx,Christopher_Freeman
John_Desmond_Bernal,Christopher_Freeman
Alok_Bhargava,Clive_Granger
Norbert_Wiener,Clive_Granger
David_Hendry,Clive_Granger
John_Denis_Sargan,Clive_Granger
Frédéric_Bastiat,Edward_Atkinson_(activist)
Adam_Smith,Edward_Atkinson_(activist)
Henry_George,Edward_C._Harwood
Henry_Hazlitt,Edward_C._Harwood
Gary_Becker,Edward_Glaeser
Friedrich_Hayek,Edward_Stringham
Murray_Rothbard,Edward_Stringham
Ludwig_von_Mises,Edward_Stringham
Walter_Block,Edward_Stringham
Joan_Robinson,Eprime_Eshag
Micha?_Kalecki,Eprime_Eshag
John_Maynard_Keynes,Eprime_Eshag
John_Maynard_Keynes,Franco_Modigliani
Carl_Menger,Frank_Fetter
Max_Weber,Frank_Knight
Herbert_J._Davenport,Frank_Knight
Henry_George,Franz_Oppenheimer
Jacques_Drèze,Franz_Palm
Karl_Marx,Frederic_Sterling_Lee
John_Maynard_Keynes,Frederic_Sterling_Lee
Eugen_von_Böhm-Bawerk,Friedrich_Hayek
Dean_Tucker,Friedrich_Hayek
Voltaire,Friedrich_Hayek
John_Stuart_Mill,Friedrich_Hayek
C._Schmitt,Friedrich_Hayek
Edward_Gibbon,Friedrich_Hayek
Tocqueville,Friedrich_Hayek
Adam_Ferguson,Friedrich_Hayek
Adam_Smith,Friedrich_Hayek
Algernon_Sidney,Friedrich_Hayek
Jean-Jacques_Rousseau,Friedrich_Hayek
John_Maynard_Keynes,Friedrich_Hayek
Karl_Marx,Friedrich_Hayek
David_Hume,Friedrich_Hayek
H._Belloc,Friedrich_Hayek
Ludwig_Wittgenstein,Friedrich_Hayek
Bernard_Mandeville,Friedrich_Hayek
John_Locke,Friedrich_Hayek
Edmund_Burke,Friedrich_Hayek
E._Mach,Friedrich_Hayek
O._Spann,Friedrich_Hayek
Lord_Acton,Friedrich_Hayek
W._Eucken,Friedrich_Hayek
Karl_Popper,Friedrich_Hayek
Eugen_von_Böhm-Bawerk,Friedrich_von_Wieser
Friedrich_Hayek,Fritz_Machlup
Friedrich_von_Wieser,Fritz_Machlup
Ludwig_von_Mises,Fritz_Machlup
Theodore_Schultz,Gary_Becker
James_Tobin,Gary_Smith
John_Maynard_Keynes,George_Akerlof
Adam_Smith,George_Grantham
John_Maynard_Keynes,George_Grantham
Carl_Menger,George_Reisman
David_Ricardo,George_Reisman
John_Stuart_Mill,George_Reisman
Frédéric_Bastiat,George_Reisman
Ludwig_von_Mises,George_Reisman
Ayn_Rand,George_Reisman
Adam_Smith,George_Reisman
Eugen_von_Böhm-Bawerk,George_Reisman
James_Mill,George_Reisman
Knut_Wicksell,George_Selgin
Milton_Friedman,George_Selgin
Jacob_Viner,George_Stigler
Milton_Friedman,George_Stigler
Ludwig_von_Mises,Gordon_Tullock
Friedrich_von_Wieser,Gottfried_Haberler
Thorstein_Veblen,Morris_Copeland
Sam_Francis_(writer),Murray_Rothbard
Eugen_von_Böhm-Bawerk,Murray_Rothbard
Frédéric_Bastiat,Murray_Rothbard
Benjamin_Tucker,Murray_Rothbard
Richard_Cantillon,Murray_Rothbard
Frank_Chodorov,Murray_Rothbard
Garet_Garrett,Murray_Rothbard
Aquinas,Murray_Rothbard
Lysander_Spooner,Murray_Rothbard
Étienne_Bonnot_de_Condillac,Murray_Rothbard
Grotius,Murray_Rothbard
H._L._Mencken,Murray_Rothbard
Isabel_Paterson,Murray_Rothbard
Aristotle,Murray_Rothbard
Herbert_Spencer,Murray_Rothbard
John_Locke,Murray_Rothbard
Gaetanus,Murray_Rothbard
Anne_Turgot,Murray_Rothbard
A._J._Nock,Murray_Rothbard
De_Vitoria,Murray_Rothbard
John_Maynard_Keynes,Myron_J._Gordon
George_Stigler,Myron_Scholes
Milton_Friedman,Myron_Scholes
Henry_Hazlitt,Thomas_DiLorenzo
Carl_Menger,Thomas_Hazlett
Friedrich_Hayek,Thomas_Hazlett
Adam_Smith,Thomas_Hodgskin
Christopher_A._Sims,Thomas_J._Sargent
Neil_Wallace,Thomas_J._Sargent
"Robert_Lucas,_Jr.",Thomas_J._Sargent
John_F._Muth,Thomas_J._Sargent
